date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2023-02-28,1.0861,1.1033,1.0531,1.0575,-2.6351,4.764,0.0873,4.7443,-0.5705
2023-03-31,1.0574,1.093,1.0515,1.0838,2.4947,3.9467,0.7786,3.8291,0.6357
2023-04-28,1.0842,1.1095,1.0787,1.1014,1.5883,2.859,0.7361,2.8001,0.5584
2023-05-31,1.1018,1.1092,1.0634,1.0686,-3.0151,4.3041,0.1127,4.2833,-0.7258
2023-06-30,1.0686,1.1012,1.0661,1.0907,2.0757,3.2943,0.7016,3.2198,0.6315
2023-07-31,1.0908,1.1276,1.0833,1.0997,0.8178,4.0875,0.3699,4.0266,0.2014
2023-08-31,1.0997,1.1065,1.0765,1.0842,-1.4104,2.7887,0.2548,2.769,-0.5167
2023-09-29,1.0841,1.0882,1.0488,1.0571,-2.4951,3.7577,0.2109,3.7282,-0.6864
2023-10-31,1.0568,1.0694,1.0448,1.0574,0.0643,2.3574,0.5132,2.3292,0.0276
2023-11-30,1.0574,1.1017,1.0516,1.0886,2.9516,4.7601,0.7383,4.5985,0.6235
2023-12-29,1.0886,1.114,1.0723,1.1037,1.3908,3.8842,0.7549,3.7735,0.3635
2024-01-31,1.104,1.1046,1.0795,1.0818,-2.0109,2.328,0.0927,2.323,-0.8834
2024-02-29,1.0818,1.0897,1.0694,1.0805,-0.1174,1.8972,0.5461,1.8778,-0.0626
2024-03-29,1.0805,1.0981,1.0768,1.079,-0.1351,1.9837,0.1044,1.9796,-0.0684
2024-04-30,1.0791,1.0885,1.0601,1.0669,-1.1306,2.6799,0.2394,2.6629,-0.4294
2024-05-31,1.0669,1.0895,1.0649,1.0845,1.6515,2.3101,0.7967,2.2683,0.7163
2024-06-28,1.0846,1.0916,1.0666,1.0711,-1.2447,2.3458,0.1815,2.3359,-0.5396
2024-07-31,1.0738,1.0948,1.071,1.0827,0.827,2.226,0.4912,2.2019,0.3725
2024-08-30,1.0827,1.1202,1.0777,1.1046,2.0283,3.937,0.6347,3.841,0.5176
2024-09-30,1.1046,1.1214,1.1002,1.1135,0.8012,1.9297,0.6274,1.9066,0.4169
2024-10-31,1.1135,1.1144,1.0761,1.0882,-2.2721,3.5601,0.3161,3.5205,-0.6604
2024-11-29,1.0882,1.0937,1.0332,1.0575,-2.8239,5.8495,0.4009,5.7155,-0.5084
2024-12-31,1.057,1.063,1.0343,1.0352,-2.0559,2.7769,0.0334,2.7743,-0.7566
2025-01-31,1.0358,1.0533,1.0177,1.036,0.0212,3.5,0.5138,3.4382,0.0062
2025-02-28,1.0232,1.0529,1.021,1.0375,1.3946,3.1204,0.516,3.0709,0.4479
2025-03-14,1.0403,1.0947,1.0388,1.0876,4.5498,5.3801,0.8726,5.1388,0.8468
